,TIPO,DATA COM,PAGAMENTO,VALOR,FUNDO
0,RENDIMENTO,29/01/2021,12/02/2021,"0,78000000",HGLG11
1,RENDIMENTO,30/12/2020,15/01/2021,"2,63000000",HGLG11
2,RENDIMENTO,30/11/2020,14/12/2020,"0,78000000",HGLG11
3,RENDIMENTO,30/10/2020,16/11/2020,"0,78000000",HGLG11
4,RENDIMENTO,30/09/2020,15/10/2020,"0,60000000",HGLG11
5,RENDIMENTO,31/08/2020,15/09/2020,"0,78000000",HGLG11
6,RENDIMENTO,31/07/2020,14/08/2020,"0,78000000",HGLG11
7,RENDIMENTO,30/06/2020,14/07/2020,"0,78000000",HGLG11
8,RENDIMENTO,29/05/2020,12/06/2020,"0,78000000",HGLG11
9,RENDIMENTO,30/04/2020,15/05/2020,"0,78000000",HGLG11
10,RENDIMENTO,31/03/2020,15/04/2020,"0,78000000",HGLG11
11,RENDIMENTO,28/02/2020,13/03/2020,"0,78000000",HGLG11
12,RENDIMENTO,31/01/2020,14/02/2020,"0,78000000",HGLG11
13,RENDIMENTO,30/12/2019,15/01/2020,"0,78000000",HGLG11
14,RENDIMENTO,29/11/2019,13/12/2019,"0,78000000",HGLG11
15,RENDIMENTO,31/10/2019,14/11/2019,"0,78000000",HGLG11
16,RENDIMENTO,30/09/2019,14/10/2019,"0,78000000",HGLG11
17,RENDIMENTO,30/08/2019,13/09/2019,"0,75000000",HGLG11
18,RENDIMENTO,31/07/2019,14/08/2019,"0,75000000",HGLG11
19,RENDIMENTO,28/06/2019,12/07/2019,"0,75000000",HGLG11
20,RENDIMENTO,31/05/2019,14/06/2019,"0,75000000",HGLG11
21,RENDIMENTO,30/04/2019,15/05/2019,"0,75000000",HGLG11
22,RENDIMENTO,29/03/2019,12/04/2019,"0,75000000",HGLG11
23,RENDIMENTO,28/02/2019,18/03/2019,"0,75000000",HGLG11
24,RENDIMENTO,31/01/2019,14/02/2019,"0,75000000",HGLG11
25,RENDIMENTO,28/12/2018,15/01/2019,"0,75000000",HGLG11
26,RENDIMENTO,30/11/2018,14/12/2018,"0,75000000",HGLG11
27,RENDIMENTO,31/10/2018,16/11/2018,"0,75000000",HGLG11
28,RENDIMENTO,28/09/2018,15/10/2018,"0,75000000",HGLG11
29,RENDIMENTO,31/08/2018,17/09/2018,"0,75000000",HGLG11
30,RENDIMENTO,31/07/2018,14/08/2018,"0,75000000",HGLG11
31,RENDIMENTO,29/06/2018,13/07/2018,"0,75000000",HGLG11
32,RENDIMENTO,30/05/2018,14/06/2018,"0,87000000",HGLG11
33,RENDIMENTO,30/04/2018,15/05/2018,"0,87000000",HGLG11
34,RENDIMENTO,29/03/2018,13/04/2018,"0,87000000
report",HGLG11
35,RENDIMENTO,28/02/2018,14/03/2018,"0,87000000
report",HGLG11
36,RENDIMENTO,31/01/2018,16/02/2018,"0,87000000
report",HGLG11
37,RENDIMENTO,28/12/2017,15/01/2018,"0,87000000
report",HGLG11
38,RENDIMENTO,30/11/2017,14/12/2017,"0,87000000
report",HGLG11
39,RENDIMENTO,31/10/2017,16/11/2017,"0,87000000
report",HGLG11
40,RENDIMENTO,29/09/2017,16/10/2017,"0,87000000
report",HGLG11
41,RENDIMENTO,31/08/2017,15/09/2017,"0,87000000
report",HGLG11
42,RENDIMENTO,31/07/2017,14/08/2017,"0,87000000
report",HGLG11
43,RENDIMENTO,30/06/2017,14/07/2017,"0,87000000
report",HGLG11
44,RENDIMENTO,31/05/2017,14/06/2017,"0,87000000
report",HGLG11
45,RENDIMENTO,28/04/2017,15/05/2017,"0,87000000
report",HGLG11
46,RENDIMENTO,31/03/2017,17/04/2017,"0,87000000
report",HGLG11
47,RENDIMENTO,24/02/2017,14/03/2017,"0,87000000
report",HGLG11
48,RENDIMENTO,31/01/2017,14/02/2017,"0,87000000
report",HGLG11
49,RENDIMENTO,29/12/2016,13/01/2017,"0,87000000
report",HGLG11
50,RENDIMENTO,30/11/2016,14/12/2016,"0,87000000
report",HGLG11
51,RENDIMENTO,31/10/2016,16/11/2016,"0,87000000
report",HGLG11
52,RENDIMENTO,30/09/2016,17/10/2016,"0,87000000
report",HGLG11
53,RENDIMENTO,31/08/2016,15/09/2016,"0,87000000
report",HGLG11
54,RENDIMENTO,29/07/2016,12/08/2016,"0,87000000
report",HGLG11
55,RENDIMENTO,30/06/2016,14/07/2016,"0,87000000
report",HGLG11
0,RENDIMENTO,08/01/2021,19/01/2021,"0,60000000",MGFF11
1,RENDIMENTO,07/12/2020,16/12/2020,"0,50000000",MGFF11
2,RENDIMENTO,09/11/2020,18/11/2020,"0,50000000",MGFF11
3,RENDIMENTO,07/10/2020,19/10/2020,"0,50000000",MGFF11
